,Condition,KS_Best_Normal,pvalue_Best_Normal,Mean_Best_Normal (microns),Std_Best_Normal,KS_Best_Log_Normal,pvalue_Best_Log_Normal,Log_Mean_Best_Log_Normal (microns),Log_Std_Best_Log_Normal (microns)
0,Control,0.05615433462950094,1.0588838888440222e-07,0.5908184519280092,0.15859369592744618,0.034841586218412865,0.0031425574792610994,0.5862389561922915,0.0550028905211595
1,Overexpression,0.04663762471567512,0.0026683661123777396,1.1017345629782236,0.8418553405841114,0.027730990416251343,0.19112518097184128,1.2773108522496381,0.07043070324813164
