Sample,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,RawIntDen
dish1-roi-01,0.172,6657.645,2309.415,4235,2349,10811,68.854,5.819,1144.254,918755
dish1-roi-01,0.015,6018.583,296.625,5703,5703,6460,0.671,5.682,89.949,72223
dish1-roi-01,0.014,1212.545,59.681,1184,1112,1311,53.4,5.661,16.612,13338
dish1-roi-01,0.06,4741.604,554.684,4077,3708,5609,1.39,5.761,283.458,227597
dish1-roi-01,0.025,1198.25,153.921,1012,1012,1469,56.709,5.781,29.847,23965
dish1-roi-01,0.073,5190.61,1422.334,5270,2561,7618,67.882,5.878,381.411,306246
dish1-roi-01,0.112,7328.9,1060.196,6649,5361,9741,0.652,5.975,821.493,659601
dish1-roi-01,0.066,7133.491,1590.923,4796,4796,10421,1.076,5.993,470.87,378075
dish1-roi-01,0.167,5963.888,2642.935,2793,1995,11598,68.394,6.058,995.307,799161
dish1-roi-01,0.105,4888.905,1210.357,3530,2995,7136,2.327,6.078,511.462,410668
dish1-roi-01,0.09,5592.319,1516.822,3362,3362,8789,1.858,6.145,501.473,402647
dish1-roi-01,0.029,6783.304,423.483,5975,5975,7498,0.297,6.151,194.309,156016
dish1-roi-01,0.047,2246.816,444.002,1540,1540,3053,69.394,6.181,106.334,85379
dish1-roi-01,0.147,7800.653,1528.735,7964,5519,11232,0.88,6.418,1146.399,920477
dish1-roi-01,0.137,7186.918,1388.743,6058,4368,10063,0.344,6.479,984.596,790561
dish1-roi-01,0.303,7417.156,3222.159,3405,2613,14913,1.313,6.737,2244.742,1802369
dish1-roi-01,0.131,4692.552,1461.292,4000,2626,8111,1.883,6.591,613.651,492718
dish1-roi-01,0.009,2181.571,21.204,2160,2160,2219,7.908,6.541,19.019,15271
dish1-roi-01,0.025,1855.7,145.632,1651,1651,2113,67.273,6.748,46.223,37114
dish1-roi-01,0.092,6009.054,1840.517,3438,2931,9742,0.653,6.846,553.81,444670
dish1-roi-01,0.012,1489.4,74.428,1382,1382,1591,73.221,6.875,18.55,14894
dish1-roi-01,0.108,2298.747,524.173,1581,1518,3236,69.021,7.018,249.077,199991
dish1-roi-01,0.06,2203.938,254.388,1773,1773,2695,67.727,7.06,131.754,105789
dish1-roi-01,0.138,2968.459,972.539,1612,1612,4912,68.497,7.131,410.371,329499
dish1-roi-01,0.245,4081.584,2058.184,1725,1641,9193,67.473,7.367,1001.423,804072
dish1-roi-01,0.051,2246.463,433.731,1607,1607,3055,68.093,7.119,114.711,92105
dish1-roi-01,0.082,2581.833,735.056,1610,1610,4093,64.93,7.393,212.224,170401
dish1-roi-01,0.045,2627.528,113.159,2514,2450,2828,0.244,7.658,117.807,94591
dish1-roi-01,0.264,3857.321,1829.956,1881,1683,8674,65.087,8.136,1018.461,817752
dish1-roi-01,0.02,2700.625,176.682,2428,2428,3023,0.333,7.883,53.815,43210
dish1-roi-01,0.029,2065.043,154.495,1869,1857,2318,49.985,8.372,59.153,47496
dish1-roi-01,0.294,4150.288,1583.793,2206,1851,8107,52.058,8.609,1219.869,979468
dish1-roi-01,0.141,3189.903,1021.457,1695,1695,5354,64.734,8.499,448.93,360459
dish1-roi-01,0.062,2221.82,366.534,1992,1813,3085,49.785,8.586,138.357,111091
dish1-roi-01,0.188,3821.172,1401.611,2112,2007,7076,51.401,8.677,718.615,576997
dish1-roi-01,0.105,2946.905,683.317,2199,1972,4299,50.752,8.798,308.296,247540
dish1-roi-01,0.116,3232.14,977.481,2460,1997,5394,50.339,8.968,374.366,300589
dish1-roi-01,0.019,2410.8,146.595,2227,2227,2679,1.427,8.932,45.038,36162
dish1-roi-01,0.012,1996.9,60.752,1913,1913,2107,7.28,8.911,24.87,19969
dish1-roi-01,0.156,5298.632,2330.576,3276,2313,10486,18.207,9.055,824.891,662329
dish1-roi-01,0.01,1026.125,46.869,964,964,1079,58.49,9.008,10.224,8209
dish1-roi-01,0.012,1334.6,97.334,1148,1148,1430,32.796,9.027,16.622,13346
dish1-roi-01,0.339,6267.511,2670.175,4650,2431,12349,17.786,9.532,2123.18,1704763
dish1-roi-01,0.158,5823.535,1495.68,5145,2976,8720,18.591,9.456,921.114,739589
dish1-roi-01,0.102,3266.78,1079.895,2932,1767,5493,51.63,9.433,333.623,267876
dish1-roi-01,0.049,2252.333,242.833,2128,1773,2678,51.284,9.402,109.401,87841
dish1-roi-01,0.173,5195.942,2148.979,2901,2378,9849,19.028,9.642,899.502,722236
dish1-roi-01,0.05,5466.3,873.155,3891,3891,7008,18.669,10.03,272.318,218652
dish1-roi-01,0.117,4738.053,1204.662,2549,2549,6860,18.968,10.169,554.69,445377
dish1-roi-01,0.147,5818.39,1473.923,3919,3919,9987,18.333,10.264,855.082,686570
dish1-roi-01,0.344,7429.891,3921.43,3509,2445,17677,17.424,10.616,2553.961,2050650
dish1-roi-01,0.019,1144.333,91.257,1193,998,1306,40.835,10.548,21.378,17165
dish1-roi-01,0.054,5851.163,1238.631,4028,4028,8101,18.091,10.633,313.353,251600
dish1-roi-01,0.222,6342.152,2824.059,2619,2619,13782,18.57,10.799,1405.981,1128903
dish1-roi-01,0.05,5491,903.508,3794,3794,7000,17.928,10.816,273.548,219640
dish1-roi-01,0.027,2164.636,217.611,1816,1816,2559,47.436,11.04,59.31,47622
dish1-roi-01,0.176,6143.525,2617.189,3426,2614,11932,18.046,11.326,1078.846,866237
dish1-roi-01,0.068,2706.473,586.518,1768,1768,3809,50.816,11.267,185.391,148856
dish1-roi-01,0.191,3728.222,1236.266,3817,1926,6509,51.941,11.419,710.421,570418
dish1-roi-01,0.173,4023.899,1421.764,2461,1981,6590,47.833,11.411,696.602,559322
dish1-roi-01,0.301,4134.351,1471.276,2037,1914,6991,48.786,11.455,1246.079,1000513
dish1-roi-01,0.091,2991,916.244,1812,1812,5028,49.399,11.47,271.933,218343
dish1-roi-01,0.223,4949.765,1999.604,4252,2230,9778,18.493,11.675,1103.47,886008
dish1-roi-01,0.059,2707.404,448.274,2013,2013,3621,47.272,11.558,158.48,127248
dish1-roi-01,0.052,3464.31,441.887,3832,2708,4266,51.279,11.669,181.213,145501
dish1-roi-01,0.472,6115.251,2434.682,2249,2249,12619,32.556,11.977,2886.531,2317680
dish1-roi-01,0.011,2017.889,42.966,1978,1978,2098,22.651,11.66,22.618,18161
dish1-roi-01,0.075,3154.933,731.261,2074,2074,4560,50.755,11.738,235.757,189296
dish1-roi-01,0.061,2963.694,514.276,2211,2211,3861,19.037,11.805,180.864,145221
dish1-roi-01,0.066,2282.094,283.941,2594,1755,2801,45.292,11.876,150.637,120951
dish1-roi-01,0.154,4272.298,1152.625,3161,2651,7242,51.654,11.887,659.79,529765
dish1-roi-01,0.014,1157.727,62.69,1065,1065,1265,73.188,11.766,15.861,12735
dish1-roi-01,0.158,3445.142,1096.685,2522,2124,6138,47.591,12.022,544.921,437533
dish1-roi-01,0.066,3840.019,1039.501,4876,2271,6027,45.661,11.963,253.473,203521
dish1-roi-01,0.017,2364.071,137.717,2067,2067,2539,52.165,12.004,41.22,33097
dish1-roi-01,0.235,4781.862,1534.784,2974,2442,8407,51.184,12.209,1125.594,903772
dish1-roi-01,0.019,1321.533,102.922,1132,1132,1468,71.105,12.068,24.688,19823
dish1-roi-01,0.098,4046.797,999.062,2281,2281,6087,45.42,12.201,398.163,319697
dish1-roi-01,0.159,4984.523,1953.1,2299,2299,9132,46.165,12.263,794.614,638019
dish1-roi-01,0.234,6454.021,2306.591,6341,2311,11606,31.893,12.416,1511.162,1213356
dish1-roi-01,0.188,5133.629,2151.264,3143,2313,10046,15.508,12.384,965.438,775178
dish1-roi-01,0.157,3779.968,1241.987,3414,1954,6205,52.156,12.371,593.173,476276
dish1-roi-01,0.025,2997.05,228.065,2678,2678,3409,16.207,12.297,74.653,59941
dish1-roi-01,0.148,5648.807,2122.556,3348,2390,10031,16.663,12.385,837.195,672208
dish1-roi-01,0.172,4573.159,1424.227,4395,2189,7663,33.247,12.478,785.992,631096
dish1-roi-01,0.007,1856.667,52.237,1795,1795,1933,37.355,12.246,13.874,11140
dish1-roi-01,0.188,3695.603,1113.313,2318,2069,6395,46.995,12.511,695,558036
dish1-roi-01,0.096,2779.026,538.44,1925,1925,3857,49.578,12.548,266.505,213985
dish1-roi-01,0.222,7789.792,4046.929,6081,2844,17252,16.358,12.694,1726.906,1386583
dish1-roi-01,0.169,6743.221,2050.666,6110,3724,10907,32.799,12.691,1142.166,917078
dish1-roi-01,0.136,4925.716,1477.316,4606,2708,8114,45.479,12.617,668.68,536903
dish1-roi-01,0.052,3595,475.809,3150,2575,4403,46.018,12.565,188.049,150990
dish1-roi-01,0.331,5585.226,1821.769,3427,2576,10689,50.215,12.823,1850.313,1485670
dish1-roi-01,0.173,7831.799,2400.745,3483,3483,12057,16.947,12.778,1355.811,1088620
dish1-roi-01,0.229,4720.087,1958.634,2845,1897,8671,44.989,12.78,1081.66,868496
dish1-roi-01,0.009,2234,66.89,2127,2127,2328,51.542,12.591,19.476,15638
dish1-roi-01,0.085,6495.5,1468.816,4504,4214,9547,31.823,12.783,550.103,441694
dish1-roi-01,0.02,2548.375,162.315,2340,2340,2800,47.667,12.711,50.782,40774
dish1-roi-01,0.091,3775.397,1132.323,2065,2065,6076,46.184,12.812,343.248,275604
dish1-roi-01,0.016,3610.385,223.913,3305,3305,3938,15.347,12.806,58.455,46935
dish1-roi-01,0.085,4371.221,938.171,2943,2943,6120,50.682,12.901,370.198,297243
dish1-roi-01,0.181,2447.345,1044.864,1384,1101,4780,70.346,12.985,441.963,354865
dish1-roi-01,0.399,6993.453,3270.263,3006,2196,14774,14.894,13.114,2787.176,2237905
dish1-roi-01,0.202,5008.642,2028.28,2398,2198,9688,48.134,12.997,1010.55,811400
dish1-roi-01,0.077,4058.242,994.875,2254,2254,5760,50.997,12.952,313.366,251611
dish1-roi-01,0.156,6348.296,2752.057,2278,2278,12037,31.169,13.084,988.303,793537
dish1-roi-01,0.027,5171.091,608.116,6102,4168,6102,32.18,12.923,141.686,113764
dish1-roi-01,0.1,3603.35,965.392,3522,2142,5604,48.668,13.097,359.02,288268
dish1-roi-01,0.189,6523.579,2578.555,2697,2697,11956,17.552,13.179,1234.958,991584
dish1-roi-01,0.204,5974.671,1944.455,4493,2839,9569,49.764,13.218,1220.339,979846
dish1-roi-01,0.088,6144.366,1602.35,3610,3610,9439,31.971,13.147,543.323,436250
dish1-roi-01,0.32,4947.335,1913.169,2511,2127,10025,32.922,13.406,1583.533,1271465
dish1-roi-01,0.007,1835.833,65.444,1756,1756,1944,74.687,13.034,13.719,11015
dish1-roi-01,0.329,6100.625,2545.213,4719,2337,13418,13.802,13.436,2005.862,1610565
dish1-roi-01,0.184,6386.264,1971.18,4599,3828,10899,15.756,13.416,1177.149,945167
dish1-roi-01,0.207,8126.934,2461.478,6550,4614,13767,16.735,13.279,1680.187,1349071
dish1-roi-01,0.191,6382.17,1639.899,5421,3177,9364,31.484,13.402,1216.137,976472
dish1-roi-01,0.025,2427.55,145.619,2203,2203,2693,10.737,13.238,60.467,48551
dish1-roi-01,0.167,5772.888,2386.623,5853,2279,11233,13.227,13.377,963.431,773567
dish1-roi-01,0.36,5115.412,1718.553,3162,2157,8850,47.533,13.514,1841.201,1478354
dish1-roi-01,0.152,4499.869,1633.571,2835,2217,8009,50.841,13.428,683.727,548984
dish1-roi-01,0.065,2482.942,196.217,2255,2230,2919,10.525,13.411,160.802,129113
dish1-roi-01,0.197,3928.285,1118.649,2621,2105,6817,30.971,13.569,773.006,620669
dish1-roi-01,0.101,3232.42,857.256,2394,1970,5129,77.171,13.411,326.089,261826
dish1-roi-01,0.076,3994.639,879.017,2655,2655,5672,48.446,13.445,303.48,243673
dish1-roi-01,0.152,4175.525,1370.433,3064,2226,7155,49.236,13.513,634.445,509414
dish1-roi-01,0.126,4456.139,1334.444,5450,2292,7096,32.212,13.587,560.535,450070
dish1-roi-01,0.039,4083.387,649.556,2987,2987,5206,50.394,13.514,157.654,126585
dish1-roi-01,0.088,6931.563,1683.772,4338,4338,10319,15.299,13.642,612.932,492141
dish1-roi-01,0.082,4377.439,1131.054,2489,2489,6710,17.508,13.647,359.821,288911
dish1-roi-01,0.06,2538.958,444.579,2089,1886,3415,76.86,13.667,151.782,121870
dish1-roi-01,0.017,4750.571,187.353,4464,4464,5058,16.198,13.675,82.832,66508
dish1-roi-01,0.197,6241.297,1830.451,6193,2761,10056,16.855,13.745,1228.159,986125
dish1-roi-01,0.157,4109.452,1310.578,4282,2011,6509,50.038,13.867,644.878,517791
dish1-roi-01,0.067,5434.093,1203.273,3290,3290,7811,14.912,13.779,365.463,293441
dish1-roi-01,0.141,3684.018,879.768,3966,2352,5583,20.597,13.901,518.469,416294
dish1-roi-01,0.093,5326.267,1499.623,3100,3100,8137,14.343,13.857,497.516,399470
dish1-roi-01,0.191,5893.895,3162.259,2836,2261,13605,22.297,13.929,1123.095,901766
dish1-roi-01,0.078,3464.952,804.106,2151,2151,5043,31.407,13.836,271.87,218292
dish1-roi-01,0.159,6250.523,1552.575,5334,3345,9119,13.123,14.012,996.435,800067
dish1-roi-01,0.076,6875.541,1444.36,4622,4622,9661,15.989,13.914,522.347,419408
dish1-roi-01,0.162,4022.431,1333.897,2210,2210,7245,77.267,13.979,651.26,522916
dish1-roi-01,0.11,4213.08,1343.35,5179,2283,7010,36.587,13.961,461.748,370751
dish1-roi-01,0.011,2673.556,102.559,2445,2445,2767,48.323,13.836,29.968,24062
dish1-roi-01,0.139,3722.955,1186.594,2668,2094,6116,78.094,13.998,519.312,416971
dish1-roi-01,0.031,3338.16,244.765,2896,2896,3710,12.71,13.938,103.937,83454
dish1-roi-01,0.111,7232.798,2555.871,3341,3341,12682,15.291,14.046,801.713,643719
dish1-roi-01,0.03,2553.833,303.764,2110,2110,3095,48.801,13.953,76.336,61292
dish1-roi-01,0.049,3558.667,719.995,2457,2457,4940,48.009,14.031,172.852,138788
dish1-roi-01,0.128,3881.194,1093.023,4409,2305,6344,11.894,14.105,497.881,399763
dish1-roi-01,0.162,7413.6,2161.36,5967,4237,12004,13.801,14.183,1200.315,963768
dish1-roi-01,0.107,7419.244,1772.663,6748,4552,10929,15.786,14.181,794.659,638055
dish1-roi-01,0.345,3717.361,1281.394,2641,1862,7055,46.792,14.431,1282.441,1029709
dish1-roi-01,0.04,1963.469,68.967,2046,1810,2070,51.048,14.165,78.252,62831
dish1-roi-01,0.054,3349.186,595.118,2351,2351,4381,77.845,14.191,179.362,144015
dish1-roi-01,0.143,4478.513,1601.21,2530,2162,7835,47.783,14.304,641.438,515029
dish1-roi-01,0.01,2466.625,84.366,2374,2374,2602,20.067,14.174,24.576,19733
dish1-roi-01,0.305,8428.963,3190.884,9570,3210,16287,36.728,14.389,2571.953,2065096
dish1-roi-01,0.081,5175.354,913.946,3442,3442,6846,16.169,14.343,418.964,336398
dish1-roi-01,0.076,5620.754,1082.338,5110,3784,7722,12.808,14.364,427.019,342866
dish1-roi-01,0.034,4841.185,548.478,4019,4019,5788,14.435,14.36,162.794,130712
dish1-roi-01,0.029,3017.826,371.495,2472,2472,3704,20.739,14.346,86.446,69410
dish1-roi-01,0.209,5907.435,2642.381,3655,2168,11005,36.208,14.569,1236.036,992449
dish1-roi-01,0.047,7119.316,1453.638,7340,3900,9562,37.262,14.435,336.934,270534
dish1-roi-01,0.108,7489.011,1938.242,4556,4556,11239,15.87,14.549,811.459,651544
dish1-roi-01,0.034,2187.963,251.15,1818,1818,2605,50.469,14.469,73.574,59075
dish1-roi-01,0.127,7882.02,2758.413,5490,3511,13294,12.495,14.58,1001.291,803966
dish1-roi-01,0.209,3498.964,1225.779,2450,1877,7047,77.556,14.691,732.102,587826
dish1-roi-01,0.068,3069.655,718.43,1910,1910,4476,77.129,14.558,210.269,168831
dish1-roi-01,0.088,3581.634,750.641,2317,2317,5044,11.313,14.655,316.71,254296
dish1-roi-01,0.055,3980.841,616.036,3043,3043,5165,11.749,14.603,218.148,175157
dish1-roi-01,0.171,8115.642,2425.233,7449,3999,13935,37.536,14.766,1384.734,1111843
dish1-roi-01,0.12,5897.062,1773.763,3388,3388,9574,12.137,14.776,705.066,566118
dish1-roi-01,0.016,6312.769,288.141,5849,5849,6792,13.442,14.606,102.208,82066
dish1-roi-01,0.286,5214.378,2377.76,4075,1873,11346,38.065,14.822,1493.665,1199307
dish1-roi-01,0.077,8208.79,1739.297,7403,5396,11560,13.111,14.767,633.86,508945
dish1-roi-01,0.361,8767.41,2328.927,6047,4401,15229,14.707,14.886,3166.592,2542549
dish1-roi-01,0.056,7378.022,1051.605,5755,5755,9243,37.119,14.764,413.5,332011
dish1-roi-01,0.159,3147.883,626.5,3744,1838,4447,74.191,14.814,501.824,402929
dish1-roi-01,0.061,7205.939,429.842,6286,6286,8008,13.975,14.851,439.754,353091
dish1-roi-01,0.224,7134.978,2651.533,4873,2613,12245,16.11,15.001,1599.514,1284296
dish1-roi-01,0.121,6042.268,1631.852,5701,2344,8573,36.749,15.003,729.952,586100
dish1-roi-01,0.178,2339.566,222.226,2488,1568,2796,5.795,15.048,416.672,334558
dish1-roi-01,0.217,6951.914,2788.746,2538,2293,12574,31.408,15.046,1506.525,1209633
dish1-roi-01,0.128,5193.883,2088.988,3352,2292,9637,11.342,15.002,666.273,534970
dish1-roi-01,0.396,10746.877,2813.687,6681,5979,16208,13.497,15.245,4256.3,3417507
