Sample,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,RawIntDen
dish1-roi-01,0.166,4056.218,1496.865,4523,2045,7739,46.797,0.261,671.886,539477
dish1-roi-01,0.011,3449,175.439,3281,3281,3679,47.86,0.198,38.66,31041
dish1-roi-01,0.031,5434.44,634.673,4300,4300,6488,49.663,0.293,169.207,135861
dish1-roi-01,0.045,4906.972,638.81,5412,3699,5940,49.918,0.317,220.008,176651
dish1-roi-01,0.208,5407.311,1464.216,7699,2800,8883,50.625,0.411,1124.658,903021
dish1-roi-01,0.07,4300.268,947.757,3681,2814,6288,51.996,0.523,299.921,240815
dish1-roi-01,0.127,4217.667,1224.17,3967,2448,6976,47.371,0.641,535.791,430202
dish1-roi-01,0.331,4938.534,1395.464,3473,2327,8451,48.014,0.732,1636.072,1313650
dish1-roi-01,0.075,5207.9,1095.151,3219,3219,7310,48.938,0.734,389.168,312474
dish1-roi-01,0.13,5318.827,1825.772,2280,2280,9211,49.333,0.772,688.925,553158
dish1-roi-01,0.115,4055.489,1043.624,2355,2355,6058,52.239,0.829,464.68,373105
dish1-roi-01,0.086,4197.507,726.088,3405,3118,5883,51.251,0.93,360.714,289628
dish1-roi-01,0.075,4581.367,969.491,3178,3178,6666,51.727,0.899,342.349,274882
dish1-roi-01,0.125,4967.33,1562.203,2504,2504,8159,0.492,1.15,618.651,496733
dish1-roi-01,0.11,3239.261,681.79,3275,2168,4915,48.692,1.121,355.019,285055
dish1-roi-01,0.049,3423.103,599.165,2479,2479,4594,50.708,1.189,166.267,133501
dish1-roi-01,0.068,4012.618,362.65,3296,3296,4658,51.363,1.305,274.861,220694
dish1-roi-01,0.007,2216.5,73.767,2102,2102,2268,3.029,1.265,16.563,13299
dish1-roi-01,0.081,3201.708,660.791,2649,2235,4530,52.55,1.322,259.19,208111
dish1-roi-01,0.108,4902.011,1422.211,2789,2789,7880,51.701,1.501,531.149,426475
dish1-roi-01,0.086,2790.652,861.015,2420,1563,4648,71.206,1.538,239.816,192555
dish1-roi-01,0.012,1020.2,77.52,916,916,1127,19.516,1.422,12.706,10202
dish1-roi-01,0.056,2306.4,345.404,2350,1756,2913,35.243,1.508,129.262,103788
dish1-roi-01,0.085,2385.912,577.871,1560,1560,3542,67.454,1.557,202.063,162242
dish1-roi-01,0.045,4355.111,588.407,3299,3299,5423,51.124,1.581,195.265,156784
dish1-roi-01,0.174,3649.029,1185.893,2422,2012,6736,52.805,1.731,636.25,510864
dish1-roi-01,0.182,3593.411,829.495,2197,2071,5247,50.686,1.777,653.405,524638
dish1-roi-01,0.288,5454.922,2982.185,2300,1710,12313,71.317,2.046,1569.363,1260087
dish1-roi-01,0.186,5197.906,2041.746,6199,2286,10352,51.322,2.088,964.578,774488
dish1-roi-01,0.179,3469.514,1655.391,1597,1597,7400,72.477,2.128,622.234,499610
dish1-roi-01,0.272,6674.853,1793.229,3745,2714,10226,0.982,2.248,1812.262,1455118
dish1-roi-01,0.081,4286.615,1235.91,2436,2436,6542,51.725,2.063,347.017,278630
dish1-roi-01,0.072,3446.121,954.813,1987,1987,5372,71.937,2.116,248.932,199875
dish1-roi-01,0.154,3728.677,1431.734,3069,1969,7027,52.446,2.341,575.837,462356
dish1-roi-01,0.387,5985.106,3659.37,3055,1723,15744,66.913,2.445,2318.222,1861368
dish1-roi-01,0.007,6627.667,126.726,6519,6519,6866,0.165,2.282,49.526,39766
dish1-roi-01,0.091,3598.247,469.996,2584,2584,4305,1.677,2.41,327.142,262672
dish1-roi-01,0.016,2986,138.801,2798,2798,3211,71.498,2.442,48.345,38818
dish1-roi-01,0.032,2271.154,294.662,1794,1794,2787,72.468,2.499,73.543,59050
dish1-roi-01,0.067,5920.519,1170.84,3818,3818,8150,1.248,2.555,398.177,319708
dish1-roi-01,0.28,10744.733,3010.048,15150,5521,17710,0.708,2.763,3010.932,2417565
dish1-roi-01,0.019,2786.067,270.329,2348,2348,3206,71.07,2.584,52.048,41791
dish1-roi-01,0.014,1009.273,38.606,955,955,1082,12.86,2.639,13.827,11102
dish1-roi-01,0.115,4714.315,1379.218,3935,2513,7571,1.708,2.724,540.168,433717
dish1-roi-01,0.067,4596.667,1156.475,4905,2866,6625,71.697,2.715,309.143,248220
dish1-roi-01,0.338,6438.03,4192.581,1812,1582,16851,70.381,2.946,2172.927,1744706
dish1-roi-01,0.188,5608.934,1958.773,2042,2042,9387,66.63,2.902,1054.824,846949
dish1-roi-01,0.052,3726.476,709.165,2392,2392,4815,67.589,2.817,194.926,156512
dish1-roi-01,0.171,5991.555,2759.245,4811,1983,11761,70.925,2.964,1022.311,820843
dish1-roi-01,0.041,3545,598.533,2730,2730,4674,72.127,2.859,145.698,116985
dish1-roi-01,0.068,4924.855,1354.338,2777,2777,7640,71.753,2.967,337.349,270867
dish1-roi-01,0.32,7711.747,2937.048,4092,2447,13850,67.717,3.28,2468.361,1981919
dish1-roi-01,0.022,3026.222,242.834,2507,2507,3386,72.303,3.004,67.842,54472
dish1-roi-01,0.176,6524.177,2484.577,2852,2852,11695,66.862,3.383,1145.691,919909
dish1-roi-01,0.156,5264.464,2082.515,2596,2596,9993,71.96,3.256,819.572,658058
dish1-roi-01,0.071,6398.509,796.694,6675,5160,8096,0.821,3.235,454.231,364715
dish1-roi-01,0.009,2248.286,144.92,2072,2072,2423,66.4,3.204,19.601,15738
dish1-roi-01,0.042,2982.294,477.176,2850,2078,3862,71.499,3.297,126.285,101398
dish1-roi-01,0.029,1891,196.411,1706,1619,2241,72.904,3.307,54.168,43493
dish1-roi-01,0.158,3481.102,1154.761,2885,1644,6323,72.564,3.476,550.609,442100
dish1-roi-01,0.331,5927.011,1345.392,5173,3239,9270,1.606,3.599,1963.542,1576585
dish1-roi-01,0.092,5395.473,1188.183,3490,3490,7889,67.298,3.517,497.261,399265
dish1-roi-01,0.31,4023.622,1315.991,2714,2364,7852,2.439,3.693,1247.784,1001882
dish1-roi-01,0.196,7150.401,2789.133,7488,3291,12719,68.236,3.723,1398.147,1122613
dish1-roi-01,0.049,3150.154,568.243,2292,2292,4153,72.171,3.633,153.01,122856
dish1-roi-01,0.011,5457.556,188.135,5232,5232,5693,0.88,3.629,61.174,49118
dish1-roi-01,0.203,5259.436,2703.7,4759,1643,11689,68.864,3.811,1067.701,857288
dish1-roi-01,0.041,2441.879,317.44,2538,1783,2984,71.827,3.721,100.36,80582
dish1-roi-01,0.199,8056.212,2806.537,7758,3869,14077,0.501,3.912,1605.365,1288994
dish1-roi-01,0.33,5457.823,3351.088,1700,1552,14551,65.822,3.999,1801.308,1446323
dish1-roi-01,0.072,4542.431,909.476,3791,2985,6296,66.653,3.946,328.125,263461
dish1-roi-01,0.196,7928.93,2311.327,5670,4341,12759,1.219,4.107,1550.376,1244842
dish1-roi-01,0.056,2522.711,553.794,1628,1628,3450,71.934,3.961,141.385,113522
dish1-roi-01,0.207,6989.205,2274.028,4360,3656,11626,68.347,4.191,1444.969,1160208
dish1-roi-01,0.034,1075,81.475,976,962,1216,29.189,4.138,36.149,29025
dish1-roi-01,0.083,3595.209,907.144,3745,2073,5387,67.407,4.213,300,240879
dish1-roi-01,0.083,1686.09,486.888,1461,1008,2691,47.231,4.307,140.695,112968
dish1-roi-01,0.284,5529.478,2534.278,3698,1956,11915,66.898,4.504,1570.152,1260721
dish1-roi-01,0.249,4517.4,1568.753,3332,1798,8416,66.242,4.488,1125.23,903480
dish1-roi-01,0.324,5838.838,2101.605,3975,3016,11524,2.073,4.623,1890.7,1518098
dish1-roi-01,0.081,5840.138,1112.219,4096,4096,8183,1.203,4.508,472.78,379609
dish1-roi-01,0.037,1433.233,221.844,1102,1102,1863,47.997,4.544,53.55,42997
dish1-roi-01,0.1,6607.288,1347.324,6690,3832,8863,0.977,4.737,658.318,528583
dish1-roi-01,0.019,4497.467,398.635,3897,3897,5149,68.406,4.577,84.02,67462
dish1-roi-01,0.052,5375.881,1176.066,3142,3142,7342,68.785,4.715,281.204,225787
dish1-roi-01,0.072,5905.414,1061.17,5609,3889,7994,68.252,4.881,426.581,342514
dish1-roi-01,0.204,8212.427,3046.116,6093,4261,14895,0.825,5.109,1677.406,1346838
dish1-roi-01,0.072,2048.241,728.232,1091,1091,3516,47.406,4.985,147.956,118798
dish1-roi-01,0.015,1120.25,91.326,1004,1004,1254,49.442,4.905,16.742,13443
dish1-roi-01,0.077,7508.5,1940.665,9777,4085,11298,68.719,4.99,579.786,465527
dish1-roi-01,0.081,1638.338,413.315,1070,1070,2492,59.435,5.018,132.629,106492
dish1-roi-01,0.183,6340.605,2152.732,5039,2367,10818,67.965,5.185,1160.836,932069
dish1-roi-01,0.182,5221.699,1142.459,3910,3181,7549,2.425,5.172,949.484,762368
dish1-roi-01,0.234,7765.282,3817.3,7690,2160,16173,69.149,5.233,1818.184,1459873
dish1-roi-01,0.012,1082.4,37.146,1023,1023,1124,48.624,5.015,13.481,10824
dish1-roi-01,0.02,4005.125,284.453,3650,3650,4479,1.641,5.082,79.81,64082
dish1-roi-01,0.027,2657.864,181.701,2354,2354,2994,3.168,5.138,72.825,58473
dish1-roi-01,0.06,1542.708,373.349,1369,994,2217,51.876,5.15,92.225,74050
dish1-roi-01,0.045,2984.583,433.09,2350,2350,3808,4.923,5.228,133.816,107445
dish1-roi-01,0.076,1650.492,526.675,2523,1016,2739,48.11,5.26,125.391,100680
dish1-roi-01,0.032,5648.462,382.096,4995,4995,6243,68.784,5.328,182.905,146860
dish1-roi-01,0.035,1319.321,181.085,1040,1040,1630,59.233,5.314,46.008,36941
dish1-roi-01,0.152,9806.598,3277.374,11816,4803,16405,68.377,5.46,1490.051,1196405
dish1-roi-01,0.011,1105.222,47.391,1033,1033,1172,55.201,5.315,12.388,9947
dish1-roi-01,0.135,2710.528,666.499,1764,1512,4056,69.596,5.512,364.586,292737
dish1-roi-01,0.086,4324.899,575.393,3928,3311,5312,1.664,5.443,371.662,298418
dish1-roi-01,0.542,5167.901,2283.895,2089,1611,10851,67.173,5.822,2799.795,2248037
dish1-roi-01,0.188,5140.927,1698.394,5405,2616,9126,2.849,5.633,966.81,776280
dish1-roi-01,0.07,1273.375,180.965,1320,1013,1628,56.188,5.631,88.811,71309
dish1-roi-01,0.045,4618.917,633.632,3677,3677,5828,2.283,5.657,207.093,166281
dish1-roi-01,0.024,2465.947,98.253,2293,2293,2678,7.57,5.612,58.353,46853
