Sample,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,RawIntDen
dish2-roi-01,0.157,1921.389,701.943,1334,962,3482,8.092,12.138,301.515,242095
dish2-roi-01,0.03,2957.208,321.286,2342,2342,3427,25.667,12.083,88.393,70973
dish2-roi-01,0.03,988.125,58.193,1007,875,1083,32.966,12.178,29.536,23715
dish2-roi-01,0.057,1542.391,249.775,1175,1175,1983,45.785,12.196,88.364,70950
dish2-roi-01,0.131,3154.543,780.735,3020,1747,4592,5.806,12.316,412.523,331227
dish2-roi-01,0.091,2466.658,533,2904,1501,3428,44.657,12.294,224.261,180066
dish2-roi-01,0.196,1848.917,831.539,933,800,3817,46.432,12.413,361.526,290280
dish2-roi-01,0.202,6321.358,2036.062,3434,2841,9857,28.217,12.447,1275.405,1024060
dish2-roi-01,0.073,2042.051,432.327,1466,1180,2807,25.946,12.368,150.052,120481
dish2-roi-01,0.097,1933.59,411.24,1759,1188,2821,24.776,12.467,187.837,150820
dish2-roi-01,0.349,2134.807,927.377,990,925,4513,54.213,12.645,744.457,597746
dish2-roi-01,0.163,2308.565,566.313,2254,1121,3312,6.145,12.564,376.648,302422
dish2-roi-01,0.02,1009.438,89.639,911,911,1161,54.63,12.44,20.115,16151
dish2-roi-01,0.181,2299.117,668.31,1414,1210,3896,24.007,12.597,415.195,333372
dish2-roi-01,0.055,2645.682,337.395,2129,2129,3333,5.525,12.558,144.982,116410
dish2-roi-01,0.224,4063.361,1567.47,2201,1188,6760,28.988,12.732,910.921,731405
dish2-roi-01,0.178,3348.727,902.423,2385,1836,5320,44.314,12.743,596.401,478868
dish2-roi-01,0.11,2597.636,448.654,2362,1713,3321,45.097,12.667,284.698,228592
dish2-roi-01,0.136,3888.679,1480.385,1841,1329,6671,27.938,12.85,527.9,423866
dish2-roi-01,0.103,1426.193,389.933,1020,881,2272,57.113,12.902,147.428,118374
dish2-roi-01,0.071,2778.07,462.973,3112,2074,3794,44.951,12.989,197.215,158350
dish2-roi-01,0.285,3402.271,1170.291,1914,1401,5928,6.045,13.115,970.347,779120
dish2-roi-01,0.369,5274.828,1848.444,4453,1633,9314,28.641,13.202,1944.566,1561349
dish2-roi-01,0.044,2288.257,394.515,1602,1602,2984,45.25,13.003,99.746,80089
dish2-roi-01,0.123,2294.162,741.408,1121,1121,3566,5.478,13.124,282.867,227122
dish2-roi-01,0.136,1514.294,293.033,1134,971,2068,54.096,13.091,205.57,165058
dish2-roi-01,0.329,3657.015,1301.604,2274,1307,6231,43.572,13.271,1202.412,965452
dish2-roi-01,0.105,2813.952,499.074,2223,2033,3930,44.81,13.327,294.387,236372
dish2-roi-01,0.132,2864.472,633.488,2033,1692,4021,44.089,13.383,378.158,303634
dish2-roi-01,0.035,2127.821,214.788,1886,1791,2508,45.3,13.422,74.202,59579
dish2-roi-01,0.232,3451.839,1260.531,1693,1106,5777,28.429,13.585,799.625,642042
dish2-roi-01,0.041,1118.727,131.212,1335,932,1352,54.268,13.479,45.979,36918
dish2-roi-01,0.022,1165.222,86.212,1058,1037,1323,23.604,13.516,26.122,20974
dish2-roi-01,0.07,1486.929,353.471,989,989,2197,7.547,13.614,103.705,83268
dish2-roi-01,0.029,1419.783,254.402,1577,939,1763,45.768,13.687,40.67,32655
dish2-roi-01,0.507,2816.229,975.95,1333,1138,5110,6.658,14.005,1427.529,1146205
dish2-roi-01,0.11,2710.909,616.306,2630,1769,3963,45.279,13.826,297.112,238560
dish2-roi-01,0.027,1151.455,107.24,1247,954,1332,43.371,13.773,31.549,25332
dish2-roi-01,0.154,2606.177,1133.315,1234,1117,5048,30.113,14.049,402.484,323166
dish2-roi-01,0.075,1437.05,260.943,1093,1049,1911,7.748,13.988,107.386,86223
dish2-roi-01,0.027,1166.318,91.18,1101,1044,1337,15.404,13.913,31.957,25659
dish2-roi-01,0.514,4266.053,1935.794,1703,1423,9315,29.212,14.377,2194.316,1761880
dish2-roi-01,0.078,1838.032,159.631,1793,1524,2194,44.848,14.011,144.217,115796
dish2-roi-01,0.01,1046.75,58.076,950,950,1119,0.163,13.975,10.429,8374
dish2-roi-01,0.225,2306.624,726.239,2144,1180,3863,44.22,14.252,519.97,417499
